worlds
390
410
505
389
409
507
387
407
503
510
544
547
527
385
405
500
526
498
530
380
388
400
408
572
189
3
218
166
184
199
229
12
46
171
175
195
213
298
240
311
262
267
277
281
291
302
308
316
692
25
42
104
109
116
138
143
179
204
209
253
257
320
326
17
31
56
60
80
84
113
122
135
155
354
363
434
467
515
566
597
613
620
627
639
659
689
698
707
23
159
225
244
415
455
666
686
704
716
728
701
722
731
36
51
68
92
126
236
272
286
335
423
444
514
574
583
624
629
641
649
661
669
679
710
725
676
683
695
673
72
96
118
131
145
150
473
644
713
719
350
359
367
376
396
545
587
594
604
610
615
622
632
652
81
99
345
483
520
523
553
590
607
618
532
600
635
655
164
19
193
169
177
202
220
182
188
241
258
230
0
7
21
45
54
63
78
87
111
120
124
147
151
197
248
299
360
421
581
663
684
271
285
304
682
699
261
675
687
37
52
70
94
102
130
157
162
215
321
443
525
536
546
556
576
589
668
670
693
717
677
714
2
15
49
62
69
74
86
98
137
207
234
252
307
313
317
329
377
397
465
584
586
593
601
612
619
631
636
643
651
656
672
680
708
10
29
107
115
325
518
524
528
591
599
646
690
266
280
294
705
726
702
711
720
732
18
34
41
66
85
90
129
136
226
245
276
290
338
343
353
456
496
517
596
606
614
621
628
634
640
654
660
696
729
723
13
333
438
516
648
665
8
22
33
40
57
105
141
492
513
623
638
658
369
471
511
531
571
348
357
365
414
481
501
512
519
522
529
542
552
562
603
609
617
626
176
180
200
227
237
190
194
205
312
167
211
222
250
306
295
328
14
32
38
71
76
95
100
127
172
185
232
275
289
368
264
65
89
269
283
301
323
459
146
256
351
20
43
121
134
161
217
246
347
475
485
567
5
27
55
79
106
112
139
156
416
47
535
152
362
427
448
543
336
356
381
401
462
499
493
449
502
429
568
578
549
418
495
341
478
373
393
488
509
506
555
461
430
450
539
569
384
404
452
431
560
470
469
440
419
458
540
564
579
371
391
426
479
446
489
504
541
551
340
1
11
183
196
198
165
170
297
319
6
174
187
208
212
239
247
24
30
39
108
178
191
203
231
221
260
324
16
35
50
67
91
103
133
242
309
331
334
349
691
44
117
128
140
224
344
422
582
608
645
685
700
709
721
53
77
110
270
284
366
694
712
265
279
293
674
688
697
58
73
82
97
142
148
153
255
303
355
412
454
550
557
588
595
605
611
616
633
653
664
703
718
730
274
288
715
724
61
123
158
163
216
235
251
315
361
442
464
585
667
671
681
706
727
678
598
625
637
657
533
573
602
630
642
647
650
662
482
521
561
374
394
436
472
592
372
392
428
477
487
439
447
537
554
577
413
460
466
491
339
563
342
378
398
497
580
445
457
437
379
399
425
463
420
476
486
538
548
565
559
168
173
186
210
181
300
322
4
201
206
318
330
219
228
238
28
48
59
83
154
160
192
214
223
314
278
292
9
144
149
233
243
249
254
310
332
337
370
411
263
273
287
93
119
132
358
441
64
88
101
364
468
534
570
268
282
296
259
305
327
435
484
424
453
558
575
75
114
125
352
375
395
417
474
346
432
382
402
494
508
386
406
451
480
383
403
433
490
