Hour
14
14
19
15
15
13
19
19
14
18
17
18
19
11
11
22
21
13
18
19
20
19
20
19
9
18
17
21
9
9
14
14
15
9
16
14
10
14
21
23
10
6
20
6
20
13
14
12
15
12
19
18
12
8
21
8
18
16
11
14
16
10
14
0
17
18
14
18
14
18
15
15
16
9
16
23
16
19
19
10
19
22
20
22
22
17
20
18
9
11
14
14
19
13
18
16
14
12
18
22
18
20
17
8
10
10
19
8
10
10
19
14
14
22
21
14
18
19
19
19
19
20
16
20
20
22
20
18
20
14
14
19
19
19
10
12
14
14
15
23
13
14
20
20
20
14
14
18
11
18
19
14
14
10
16
20
14
19
19
19
23
12
14
22
16
20
20
8
15
16
16
20
15
15
14
16
14
7
20
12
19
13
11
21
16
21
16
21
16
14
16
11
10
17
11
17
21
19
15
15
21
21
10
17
14
14
18
18
20
13
15
15
13
14
14
15
13
18
21
20
20
21
18
20
12
17
16
12
17
15
16
15
13
19
11
7
11
11
11
14
8
13
9
22
8
19
22
14
14
19
16
19
18
14
14
17
22
16
13
22
16
17
18
14
15
11
11
19
15
18
22
22
20
12
16
20
8
8
8
16
16
15
15
12
15
11
9
14
14
19
14
11
9
18
19
15
15
17
16
11
21
16
21
19
19
13
16
14
13
16
13
16
14
14
14
18
6
18
20
14
16
8
16
13
9
10
13
10
15
19
14
14
14
16
15
20
20
22
14
18
18
14
20
21
21
22
21
20
19
21
20
15
15
20
17
9
16
14
16
17
20
12
13
16
11
19
14
8
9
6
12
9
18
12
9
19
9
19
8
18
18
10
7
7
11
16
9
9
14
14
2
3
19
9
11
17
8
17
18
18
18
8
9
8
21
12
17
9
16
14
14
16
14
13
13
21
18
18
20
12
17
14
22
14
10
16
16
21
16
14
10
17
21
18
21
22
8
21
18
14
15
15
22
16
5
20
22
14
15
22
20
14
14
14
18
20
22
13
11
15
11
19
21
18
22
22
19
12
22
19
16
21
18
8
8
10
19
19
17
15
19
16
21
14
11
11
16
15
15
15
14
15
16
14
15
15
11
15
21
22
10
17
14
16
18
18
17
16
11
11
11
10
12
22
20
14
16
18
16
19
16
21
21
12
12
17
17
16
9
9
15
9
9
9
16
22
12
12
12
14
14
17
19
18
19
18
19
18
18
18
17
14
17
18
20
19
21
21
14
16
16
18
18
12
18
20
17
13
13
18
17
19
9
19
9
19
19
12
14
19
11
17
13
14
13
14
12
12
12
22
12
19
19
19
17
17
16
17
19
16
17
17
20
19
8
8
13
18
15
17
17
10
19
16
14
19
17
22
19
12
14
12
17
12
18
15
17
17
19
20
17
16
20
12
12
13
14
18
17
21
21
19
16
21
14
14
14
14
12
19
16
19
20
19
14
14
12
11
12
19
10
8
8
11
16
18
16
11
17
11
11
12
14
15
16
16
20
10
3
3
21
10
10
19
18
18
7
11
11
21
19
20
20
10
7
21
21
21
17
17
17
13
15
11
16
19
22
22
20
18
16
10
10
15
13
13
23
14
7
9
10
10
18
14
18
18
20
16
23
23
22
15
