value_worlds
394
414
509
393
413
511
391
411
507
514
548
551
531
389
409
504
530
502
534
384
392
404
412
576
191
3
220
168
186
201
233
12
47
173
177
197
215
302
244
315
266
271
281
285
295
306
312
320
696
25
43
106
111
118
140
145
181
206
211
257
261
324
330
17
32
58
62
82
86
115
124
137
157
358
367
438
471
519
570
601
617
624
631
643
663
693
702
711
23
161
227
248
419
459
670
690
708
720
732
705
726
735
37
52
70
94
128
240
276
290
339
427
448
518
578
587
628
633
645
653
665
673
683
714
729
680
687
699
677
74
98
120
133
147
152
477
648
717
723
354
363
371
380
400
549
591
598
608
614
619
626
636
656
83
101
349
487
524
527
557
594
611
622
536
604
639
659
166
19
195
171
179
204
222
184
190
245
262
234
0
7
21
46
56
65
80
89
113
122
126
149
153
199
252
303
364
425
585
667
688
275
289
308
686
703
265
679
691
38
53
72
96
104
132
159
164
217
325
447
529
540
550
560
580
593
672
674
697
721
681
718
2
15
50
64
71
76
88
100
139
209
238
256
311
317
321
333
381
401
469
588
590
597
605
616
623
635
640
647
655
660
676
684
712
10
30
109
117
329
522
528
532
595
603
650
694
270
284
298
709
730
706
715
724
736
18
35
42
68
87
92
131
138
228
249
280
294
342
347
357
460
500
521
600
610
618
625
632
638
644
658
664
700
733
727
13
337
442
520
652
669
8
22
34
41
59
107
143
496
517
627
642
662
373
475
515
535
575
352
361
369
418
485
505
516
523
526
533
546
556
566
607
613
621
630
178
182
202
231
241
192
196
207
316
169
213
224
254
310
299
332
14
33
39
73
78
97
102
129
174
187
236
279
293
372
268
67
91
273
287
305
327
463
148
260
355
20
44
123
136
163
219
250
351
479
489
571
5
28
57
81
108
114
141
158
420
48
539
154
366
431
452
547
340
360
385
405
466
503
497
453
506
433
572
582
553
422
499
345
482
377
397
492
513
510
559
465
434
454
543
573
388
408
456
435
564
474
473
444
423
462
544
568
583
375
395
430
483
450
493
508
545
555
344
1
11
185
198
200
167
172
301
323
6
176
189
210
214
243
251
24
31
40
110
180
193
205
235
223
264
328
16
36
51
69
93
105
135
246
313
335
338
353
695
45
119
130
142
226
348
426
586
612
649
689
704
713
725
55
79
112
274
288
370
698
716
269
283
297
678
692
701
60
75
84
99
144
150
155
259
307
359
416
458
554
561
592
599
609
615
620
637
657
668
707
722
734
278
292
719
728
63
125
160
165
218
239
255
319
365
446
468
589
671
675
685
710
731
682
602
629
641
661
537
577
606
634
646
651
654
666
486
525
565
378
398
440
476
596
376
396
432
481
491
443
451
541
558
581
417
464
470
495
343
567
346
382
402
501
584
449
461
441
383
403
429
467
424
480
490
542
552
569
563
170
175
188
212
183
304
326
4
203
208
322
334
221
232
242
29
49
61
85
156
162
194
216
225
318
282
296
9
146
151
237
247
253
258
314
336
341
374
415
267
277
291
95
121
134
362
445
66
90
103
368
472
538
574
272
286
300
263
309
331
439
488
428
457
562
579
77
116
127
356
379
399
421
478
350
436
386
406
498
512
390
410
455
484
387
407
437
494
