Day
18
18
18
8
8
22
28
28
28
28
7
10
15
15
15
5
28
28
5
30
2
30
2
28
1
15
10
18
5
2
18
18
30
15
25
5
5
8
25
14
14
17
29
17
29
8
10
3
19
22
28
2
3
14
5
3
12
10
15
3
25
15
17
20
24
12
14
21
23
12
11
11
5
10
18
12
28
18
22
5
21
28
5
17
17
16
25
4
22
25
10
10
28
10
24
13
1
13
18
28
19
29
26
1
17
26
22
8
10
10
28
28
28
2
10
22
2
7
19
7
19
27
6
7
22
3
10
22
31
18
27
23
10
25
15
15
2
10
16
2
14
15
12
12
10
26
2
12
18
23
30
10
10
22
28
10
18
28
28
18
29
15
26
25
8
13
13
10
20
5
30
2
5
1
10
15
18
5
5
15
16
21
30
11
15
20
24
10
15
19
17
3
15
12
20
2
5
20
21
11
3
3
30
9
26
29
2
14
27
1
17
26
1
22
18
11
3
1
5
10
28
20
20
22
28
26
28
20
14
4
11
15
19
31
15
17
19
24
28
18
8
3
28
28
29
10
15
8
8
18
23
25
1
9
20
27
9
14
1
9
14
30
7
5
17
24
3
5
22
10
22
10
30
7
4
17
5
5
5
2
10
29
8
17
15
20
26
28
16
23
25
20
2
28
12
18
18
20
20
1
22
15
15
4
14
22
29
6
12
18
12
18
23
22
20
18
3
10
28
6
23
17
21
25
28
13
2
20
28
10
1
16
16
22
20
15
12
15
5
8
12
15
15
20
28
20
15
22
8
10
28
11
17
25
4
11
3
10
10
22
20
12
18
5
12
1
18
18
17
17
1
19
25
27
18
19
27
28
10
3
22
15
6
6
10
30
16
25
8
8
12
7
28
10
15
18
21
29
28
28
28
15
1
15
22
22
10
16
23
12
21
2
20
12
10
5
30
15
12
7
18
28
25
15
25
1
1
15
18
10
12
15
28
18
10
28
15
22
15
10
15
15
15
28
15
5
10
2
18
12
8
20
20
8
8
15
15
28
8
22
18
10
5
20
10
10
20
5
15
2
10
15
2
5
15
18
28
2
28
5
28
15
28
16
7
20
22
10
30
30
22
24
27
3
18
25
30
10
25
8
10
19
26
31
16
25
1
15
5
7
7
12
22
18
29
18
5
30
15
8
12
21
16
3
12
27
6
18
11
20
15
27
27
5
21
9
1
1
1
1
15
24
13
18
22
27
8
28
22
8
25
12
2
15
12
12
27
3
13
19
24
11
11
22
30
15
5
15
15
12
21
14
2
10
5
12
12
10
20
15
18
2
24
25
29
8
3
14
5
6
3
15
15
8
1
10
8
20
5
8
20
2
5
10
20
20
5
12
31
5
5
15
18
28
30
10
20
15
12
10
10
15
12
10
15
22
18
18
10
18
22
5
22
25
25
10
28
20
10
10
5
24
20
8
22
20
8
28
15
2
18
15
18
3
18
18
5
2
5
23
31
14
23
30
15
12
20
8
12
30
30
17
15
1
20
15
5
20
19
19
8
8
8
12
1
1
26
30
30
28
10
15
24
1
30
10
18
22
22
22
22
15
3
28
15
5
15
28
28
15
19
25
15
5
28
28
10
28
28
22
5
5
2
10
12
12
20
28
8
8
18
28
